Fighter_Name,Height_cm,Weight_lbs,Reach_cm,Age,Win_Rate,Total_Fights,SLpM,Str_Acc_f,SApM,Str_Def_f,TD_Avg,TD_Acc_f,TD_Def_f,Sub_Avg
Farida Abdueva,160.0,115.0,167.6,21.6,0.8,10,4.52,0.47,4.34,0.54,0.0,0.0,0.85,0.0
Mansur Abdul-Malik,188.0,185.0,203.2,26.2,0.75,12,3.34,0.45,4.5,0.45,1.64,0.46,0.8,0.3
Akbar Abdullaev,175.3,155.0,177.8,26.3,1.0,14,8.906399999999994,0.75,0.0,0.7982999999999993,0.0,0.0,0.0,0.0
Tahir Abdullayev,172.7,170.0,185.4,26.9,0.8695652173913043,23,2.56,0.42,2.42,0.51,2.07,0.33,1.0,0.0
Loai Abushaar,177.8,155.0,182.9,27.4,0.875,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Adams,180.3,235.0,190.5,26.3,0.6666666666666666,9,0.0,0.0,12.814899999999998,0.27,0.0,0.0,0.0,0.0
Israel Adesanya,193.0,185.0,203.2,34.4,0.8,30,4.03,0.48,3.22,0.55,0.05,0.09,0.76,0.1
Ahejiang Ailinuer,175.3,145.0,182.9,25.3,0.8095238095238095,21,2.22,0.71,0.73,0.58,5.44,0.44,1.0,0.0
Ilimbek Akylbek,177.8,135.0,182.9,21.6,0.7857142857142857,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul-Kareem Al-Selwady,172.7,155.0,175.3,28.7,0.8,20,4.61,0.41,3.43,0.6,1.47,0.23,0.54,0.0
JJ Aldrich,165.1,125.0,170.2,31.3,0.6521739130434783,23,3.93,0.46,4.39,0.61,0.66,0.23,0.67,0.0
Talita Alencar,157.5,115.0,160.0,33.2,0.8,10,3.09,0.36,3.67,0.51,3.01,0.29,0.66,0.5
Nurullo Aliev,177.8,155.0,182.9,23.1,1.0,12,2.29,0.44,1.59,0.55,3.48,0.51,0.8,0.5
Kimbert Alintozon,160.0,135.0,165.1,24.9,0.6363636363636364,11,2.39,0.52,4.06,0.46,1.56,0.33,0.75,0.0
Ikram Aliskerov,182.9,185.0,193.0,31.1,0.9,20,5.56,0.6,4.01,0.45,3.82,0.68,1.0,0.7
Michael Aljarouj,165.1,125.0,167.6,26.4,0.7647058823529411,17,0.67,0.31,1.87,0.42,0.0,0.0,0.62,1.0
Arnold Allen,172.7,145.0,177.8,29.9,0.84,25,3.52,0.43,3.15,0.6,1.24,0.6,0.73,0.3
Brendan Allen,188.0,185.0,190.5,28.0,0.7941176470588235,34,3.75,0.52,3.78,0.47,1.52,0.41,0.57,1.1
Asu Almabayev,162.6,125.0,165.1,29.9,0.8888888888888888,27,2.28,0.51,1.94,0.53,4.74,0.45,0.44,1.4
Bekzat Almakhan,170.2,135.0,172.7,26.2,0.75,16,2.58,0.39,4.23,0.52,0.0,0.0,0.59,0.0
Cesar Almeida,185.4,185.0,188.0,35.8,0.7,10,3.73,0.6,2.23,0.44,0.2,0.33,0.53,0.2
Abe Alsaghir,172.7,155.0,180.3,22.5,1.0,9,3.2,0.41,5.47,0.5,0.0,0.0,0.0,1.0
Joel Alvarez,190.5,170.0,195.6,30.8,0.8214285714285714,28,4.59,0.52,4.13,0.47,0.15,0.33,0.48,0.9
Mahamed Aly,188.0,205.0,195.6,30.0,0.7142857142857143,7,5.89,0.59,11.41,0.42,0.0,0.0,0.0,0.0
Melissa Amaya,177.8,115.0,182.9,29.1,1.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyder Amil,175.3,145.0,177.8,33.6,0.7857142857142857,14,5.83,0.52,4.04,0.5,0.52,0.16,0.65,0.8
Jaqueline Amorim,160.0,115.0,172.7,28.5,0.8461538461538461,13,2.26,0.49,2.06,0.54,2.01,0.33,0.0,4.3
Yaroslav Amosov,182.9,170.0,190.5,30.3,0.967741935483871,31,2.65,0.53,1.38,0.6,8.49,0.53,0.0,3.2
Eryk Anders,185.4,185.0,190.5,36.7,0.6666666666666666,27,3.44,0.47,4.03,0.5,1.83,0.25,0.8,0.1
